Instance,Seed,Mode,NV,TD,Runtime_s,BKS_NV,BKS_TD,NV_Gap,TD_Gap_pct
RC202,42,baseline,3,1505.41,80.8,3,1159.21,0,29.87
RC202,42,penalty,3,1496.24,90.2,3,1159.21,0,29.07
RC202,42,adaptive,3,1496.24,76.9,3,1159.21,0,29.07
RC202,123,baseline,3,1500.40,77.0,3,1159.21,0,29.43
RC202,123,penalty,3,1487.73,90.7,3,1159.21,0,28.34
RC202,123,adaptive,3,1496.24,80.2,3,1159.21,0,29.07
RC202,7,baseline,3,1372.34,448.6,3,1159.21,0,18.39
RC202,7,penalty,3,1496.24,98.5,3,1159.21,0,29.07
RC202,7,adaptive,3,1496.24,78.7,3,1159.21,0,29.07
RC207,42,baseline,3,1088.11,77.8,3,1061.14,0,2.54
RC207,42,penalty,3,1093.91,69.8,3,1061.14,0,3.09
RC207,42,adaptive,3,1092.63,82.0,3,1061.14,0,2.97
RC207,123,baseline,3,1086.16,75.1,3,1061.14,0,2.36
RC207,123,penalty,3,1130.05,80.9,3,1061.14,0,6.49
RC207,123,adaptive,3,1094.95,77.5,3,1061.14,0,3.19
RC207,7,baseline,3,1102.48,92.7,3,1061.14,0,3.90
RC207,7,penalty,3,1067.40,80.6,3,1061.14,0,0.59
RC207,7,adaptive,3,1122.10,85.7,3,1061.14,0,5.74
R104,42,baseline,10,990.92,97.7,9,1007.31,1,NV_MISMATCH
R104,42,penalty,10,988.85,86.2,9,1007.31,1,NV_MISMATCH
R104,42,adaptive,10,986.96,116.2,9,1007.31,1,NV_MISMATCH
R104,123,baseline,10,981.23,111.9,9,1007.31,1,NV_MISMATCH
R104,123,penalty,10,981.23,95.0,9,1007.31,1,NV_MISMATCH
R104,123,adaptive,10,981.23,97.6,9,1007.31,1,NV_MISMATCH
R104,7,baseline,10,996.34,94.9,9,1007.31,1,NV_MISMATCH
R104,7,penalty,10,984.95,95.3,9,1007.31,1,NV_MISMATCH
R104,7,adaptive,10,981.23,100.7,9,1007.31,1,NV_MISMATCH
R101,42,baseline,19,1650.80,213.6,19,1650.80,0,0.00
R101,42,penalty,19,1650.80,212.2,19,1650.80,0,0.00
R101,42,adaptive,19,1650.80,205.7,19,1650.80,0,0.00
R101,123,baseline,19,1650.80,201.4,19,1650.80,0,0.00
R101,123,penalty,19,1650.80,219.7,19,1650.80,0,0.00
R101,123,adaptive,19,1650.80,235.4,19,1650.80,0,0.00
R101,7,baseline,19,1650.80,445.1,19,1650.80,0,0.00
R101,7,penalty,19,1650.80,432.3,19,1650.80,0,0.00
R101,7,adaptive,19,1654.22,126.5,19,1650.80,0,0.21
