Instance,Seed,Mode,NV,TD,Runtime_s
RC202,42,baseline,3,1505.41,372.0
RC202,42,adaptive,3,1382.70,10434.3
RC202,123,baseline,3,1496.24,182.9
RC202,123,adaptive,3,1554.59,163.7
RC202,7,baseline,3,1505.41,344.9
RC202,7,adaptive,3,1390.48,1051.4
RC207,42,baseline,3,1098.86,1074.6
RC207,42,adaptive,3,1061.84,7321.1
RC207,123,baseline,3,1094.95,224.6
RC207,123,adaptive,3,1094.95,166.4
RC207,7,baseline,3,1089.46,233.9
RC207,7,adaptive,3,1090.54,177.7
R104,42,baseline,10,991.94,211.4
R104,42,adaptive,10,996.16,172.7
R104,123,baseline,10,988.28,159.3
R104,123,adaptive,10,984.64,153.0
R104,7,baseline,10,987.71,181.4
R104,7,adaptive,10,983.97,160.2
R101,42,baseline,19,1651.10,351.8
R101,42,adaptive,19,1650.80,305.4
R101,123,baseline,19,1650.80,335.4
R101,123,adaptive,19,1650.80,299.8
R101,7,baseline,19,1650.80,324.1
R101,7,adaptive,19,1650.80,398.6
