Instance,Seed,Mode,NV,TD,Runtime_s,BKS_NV,BKS_TD,NV_Gap,TD_Gap_pct
RC101,42,baseline,15,1644.80,316.1,14,1696.94,1,NV_MISMATCH
RC101,42,penalty,15,1644.80,258.6,14,1696.94,1,NV_MISMATCH
RC101,123,baseline,15,1638.66,233.7,14,1696.94,1,NV_MISMATCH
RC101,123,penalty,15,1642.86,211.9,14,1696.94,1,NV_MISMATCH
RC101,7,baseline,15,1644.97,235.3,14,1696.94,1,NV_MISMATCH
RC101,7,penalty,15,1641.78,289.0,14,1696.94,1,NV_MISMATCH
RC207,42,baseline,3,1061.84,122.2,3,1061.14,0,0.07
RC207,42,penalty,3,1073.79,96.4,3,1061.14,0,1.19
RC207,123,baseline,3,1112.52,72.9,3,1061.14,0,4.84
RC207,123,penalty,3,1128.88,85.2,3,1061.14,0,6.38
RC207,7,baseline,3,1083.92,79.4,3,1061.14,0,2.15
RC207,7,penalty,3,1090.03,100.5,3,1061.14,0,2.72
R101,42,baseline,19,1650.80,207.5,19,1650.80,0,0.00
R101,42,penalty,19,1650.80,235.2,19,1650.80,0,0.00
R101,123,baseline,19,1650.80,178.9,19,1650.80,0,0.00
R101,123,penalty,19,1650.80,216.3,19,1650.80,0,0.00
R101,7,baseline,19,1650.80,127.4,19,1650.80,0,0.00
R101,7,penalty,19,1668.65,25.5,19,1650.80,0,1.08
R201,42,baseline,4,1263.39,93.6,4,1252.37,0,0.88
R201,42,penalty,4,1261.58,76.6,4,1252.37,0,0.74
R201,123,baseline,4,1253.02,86.1,4,1252.37,0,0.05
R201,123,penalty,4,1253.02,89.2,4,1252.37,0,0.05
R201,7,baseline,4,1253.69,88.9,4,1252.37,0,0.11
R201,7,penalty,4,1261.58,89.0,4,1252.37,0,0.74
R104,42,baseline,10,984.00,116.2,9,1007.31,1,NV_MISMATCH
R104,42,penalty,10,981.23,88.6,9,1007.31,1,NV_MISMATCH
R104,123,baseline,10,995.80,103.6,9,1007.31,1,NV_MISMATCH
R104,123,penalty,10,981.23,79.7,9,1007.31,1,NV_MISMATCH
R104,7,baseline,10,995.13,95.9,9,1007.31,1,NV_MISMATCH
R104,7,penalty,10,981.47,102.7,9,1007.31,1,NV_MISMATCH
RC104,42,baseline,10,1135.83,102.0,10,1135.48,0,0.03
RC104,42,penalty,10,1135.83,76.7,10,1135.48,0,0.03
RC104,123,baseline,10,1138.34,86.5,10,1135.48,0,0.25
RC104,123,penalty,10,1135.85,87.2,10,1135.48,0,0.03
RC104,7,baseline,10,1136.27,103.5,10,1135.48,0,0.07
RC104,7,penalty,10,1137.03,100.4,10,1135.48,0,0.14
R207,42,baseline,3,811.51,474.8,2,890.61,1,NV_MISMATCH
R207,42,penalty,3,818.45,83.7,2,890.61,1,NV_MISMATCH
R207,123,baseline,3,811.51,444.0,2,890.61,1,NV_MISMATCH
R207,123,penalty,3,812.76,128.7,2,890.61,1,NV_MISMATCH
R207,7,baseline,3,834.76,433.9,2,890.61,1,NV_MISMATCH
R207,7,penalty,3,812.86,114.2,2,890.61,1,NV_MISMATCH
RC202,42,baseline,3,1505.41,56.4,3,1159.21,0,29.87
RC202,42,penalty,3,1496.24,78.9,3,1159.21,0,29.07
RC202,123,baseline,3,1554.44,82.2,3,1159.21,0,34.09
RC202,123,penalty,3,1496.24,65.3,3,1159.21,0,29.07
RC202,7,baseline,3,1496.24,71.8,3,1159.21,0,29.07
RC202,7,penalty,3,1496.24,88.7,3,1159.21,0,29.07
